Topic,Word_1,Word_2,Word_3,Word_4,Word_5,Word_6,Word_7,Word_8,Word_9,Word_10,Word_11,Word_12,Word_13,Word_14,Word_15,Word_16,Word_17,Word_18,Word_19,Word_20,Word_21,Word_22,Word_23,Word_24,Word_25,Word_26,Word_27,Word_28,Word_29,Word_30
60,profit,cent,share,earnings,sale,group,loss,dividend,quarter,rise,turnover,increase,half,result,revenue,fall,operate,compare,total,business,division,income,month,acquisition,cost,growth,interim_dividend,expect,report,margin
61,sport_roundup,saudi,malta,eire,saudi_arabia,kingdom,pccw,banesto,sadr,albania,maliki,riyadh,woodford,eurofighter,aleppo,albanian,shearson,tirana,ambac,austria_belgium,isoft,continental,king_abdullah,mosul,saudis,hashimoto,mccreevy,spain,freefone,albanians
62,israel,israeli,palestinian,palestinians,lebanon,arab,jerusalem,gaza,egypt,hamas,peace,lebanese,jordan,beirut,israelis,hizbollah,netanyahu,egyptian,gaza_strip,syria,middle_east,jewish,aviv,cairo,syrian,sharon,peace_process,settlement,west,damascus
63,partygaming,online_gaming,sportingbet,cannabis,bwin,macsharry,palin,lÃ³pez_obrador,nakasone,taurus,lesotho,playtech,calderÃ³n,skelmersdale,ebbers,amicus,tanaka,insulin,fitzpatrick,breedon,thames_gateway,poker,mckinnon,citrix,serra,biometric,opton,phibro,diana_smith,polman
64,bank,mths,trust,deposit,midland,corp,kuwait,hoare,hambros,cyprus_popular,clydesdale,hill_samuel,lloyds,standard_charter,grindlays,ally_irish,knowsley,cyprus,guinness_mahon,hongkong_shanghai,heritable,banco_bilbao,scotland,yushchenko,duncan_lawrie,henry_ansbacher,yorkshire,williams_glyn,exeter,operative
65,luxury,lvmh,akzo,gucci,gold,brand,fashion,watch,jewellery,phil,louis_vuitton,richemont,prada,swatch,hein,unil,burberry,xerox,elder,fragrance,arnault,chanel,cablevision,versace,nedl,leather,designer,natn,jeweller,copier
66,obama,republican,trump,democrat,president,senate,republicans,bush,clinton,congress,white,house,washington,campaign,senator,vote,democratic,bill,administration,election,state,candidate,barack_obama,george_bush,america,reagan,congressional,party,mccain,political
67,orchestra,symphony,concert,concerto,piano,composer,recital,conductor,mozart,pianist,music,soloist,conduct,beethoven,quartet,sonata,schubert,strauss,opus,brahms,symphony_orchestra,prom,orchestral,bach,ballet,tchaikovsky,schumann,baritone,shostakovich,philharmonic
68,want,business,eetpu,teliasonera,yearly,british_shipbuilder,satyam,stanhope,czechoslovak,subscribenow,rosehaugh,bache,kohn,scottishpower,turkcell,sappi,ltro,index,heat_pump,linde,optician,edwardian,eetpu_electrician,corrigan,mcfarlane,payable_annually,denham,weekly_jobless,penalty,bearer_depositary
69,energy,electricity,nuclear,emission,power,water,plant,climate_change,environmental,carbon,coal,power_station,fuel,waste,project,industry,solar,reactor,supply,utility,pollution,cost,green,environment,government,clean,greenhouse,renewable,technology,renewable_energy
70,diageo,whisky,spirit,drink,firstgroup,distiller,scotch_whisky,scotch,guinness,petrofac,group,cpsa,distillery,vodka,finstat,wallonia,brand,cushing,andersen_consult,outdoor_advertise,arcandor,pernod_ricard,amlin,bacardi,smurfit,cussons,perrier,suntory,laser_printer,turkish_cypriot
71,hello,Â»,price,pool,pric,note,thie,ther,ithe,tihe,prim,prie,okay,london,thei,warrant,recycle_paper,anus,stock,prce,capem,pool_pool,tile,hare,cont,othe,lthe,tlhe,high,thle
72,court,investigation,case,police,fraud,charge,allege,lawyer,trial,claim,allegation,judge,legal,bank,prosecutor,inquiry,criminal,crime,arrest,justice,report,page,prison,scandal,yesterday,action,authority,evidence,investigate,accuse
73,property,house,build,office,development,london,home,land,city,site,developer,rent,centre,tenant,construction,estate,rental,park,space,acre,dubai,real_estate,lease,buyer,building,area,residential,rend,sale,price
74,aircraft,defence,paga,airbus,boeing,aerospace,engine,roll_royce,order,eads,contract,military,system,helicopter,space,programme,equipment,industry,group,project,satellite,missile,airline,airliner,ministry,french,british,marconi,submarine,plessey
75,brazil,brazilian,paulo,markit_itraxx,commodity_brent,topix,petrobras,silva,djia,rousseff,gold_comex,crude_nymex,lula,hang_seng,crude,eurofirst,nikkei,bovespa,copper_comex,janeiro,saatchi,nasdaq,msci_asia,asian,brazilians,light,xover,bloomberg_markit,latin_america,essar
76,lloyd,spade,syndicate,declarer,dummy,diamond,south,west,club,heart,east,trick,ruff,ecuador,trump,prize_puzzle,underwrite,king,queen,north,knave,correa,finesse,play,saxophonist,suit,hand,lead,schwarzenegger,mack
77,bitcoin,vcts,granville,service,atlanta_orlando,mitie,pref,inmos,cryptocurrency,carbo,marchionne,bardon,dividend,brit,share,tech,redrow,culs,rhodia,equip,bray_technology,pharmaceutical_biotech,torday_carlisle,cebit,drink_dispense,cryptocurrencies,hannover,granville_davies,security,scruttons
78,rate,dollar,month,yield,index,euro,bond,open,sterling,bill,currency,bank,change,high,franc,open_sett,denmark,close,price,sweden,york,norway,japan,italy,treasury,spain,london,interbank,france,spread
79,ofgem,potashcorp,sivs,barlow_clowes,khodorkovsky,verwaayen,afren,dkrl,hazardous_waste,tootal,avrge,vontobel,norddeutsche_landesbank,norske_creditbank,cramer,homeserve,cheyne,sinochem,deutsche_genossenschaftsbank,baer,kansallis_osake,potash,pankki,danske,clowes,takenaka,julius_baer,veritas,ftaa,lennar
80,financial,time,southwark_bridge,telex,thursday,wednesday,monday,friday,tuesday,london,saturday,numb,column,november,february,page,october,august,january,march,july,limit,september,weekend,december,telephone,april,cannon_street,june,news
81,etfs,reinsurance,allianz,reinsurer,blackrock,ishares,insurance,insurer,intesa,munich,janus,carnival,lipper,hurricane,midland_montagu,vioxx,catastrophe,pimco,pago,orÃ©al,charterer,bermuda,imclone,edmiston,willis,fund,sadat,synopsis,saxo,cumulative_preference
82,iceland,icelandic,baugur,pinochet,kaupthing,alliance_boot,haughey,thain,fianna_fail,fracking,fine_gael,landsbanki,bolland,manx,merrill,moss_bros,blunkett,icesave,bofa,vimpelcom,fitzgerald,reykjavik,cranfield,citic_pacific,davos,emiliya_mychasuk,laxey,cuomo,cineworld,mccann
83,union,worker,labour,government,council,employer,staff,strike,secretary,work,employment,service,yesterday,public,national,industry,department,health,minister,employee,local,action,cent,member,committee,sector,general,scheme,wage,local_authority
84,riksbank,unconsolidated,cognac,airship,abattoir,waddington,garnier,clausen,speedy_hire,montenegro,payout_ratio,weibo,nacods,amaranth,playboy,issing,sangers,lord_wolfson,monetarism,lynton,ingot,gtoup,ippr,bright_interval,convergence_criterium,warburg_pincus,otmar_issing,indexia,painewebber_incorporate,supertax
85,ftfm,rusal,investor_chronicle,norilsk,kroes,deripaska,tungsten,letter_transmit,management,wonga,shandwick,rasmussen,airtouch,cathode,geneve,fund,cahill,weekly,palm_malayan,baosteel,clough,keydata,luanda,kate_bevan,pixar,ramaphosa,harrods_knightsbridge,dhaka,neptune,footie
86,online,subscribe,print,order,stock,lottery,annual,free,camelot,price,look,financialtimes_bracken,feature,service,visit,telegram,report,ambani,balfour_beatty,cocom,podcast,nasd,edmonds,balfour,santer,national_lottery,critic,leigh_pemberton,today,subscription
87,dimon,rajaratnam,anglogold,galleon,denmark_copenhagen,umbro,hackett,persson,aproct,snapchat,biffa,huhne,sweden_jacobson,kano,chubais,bnds,microgen,aktien,janjul,whitelaw,chris_huhne,bruckner,raport,industr,scicon,hahn,gses,bramble,tosca,giselle
88,news,page,crossword,inside_track,lombard,radio,letter,world,national,comment,analysis,weather,editorial_comment,intl,stock,leader,bourse,section,actuary,enrc,finance,sport,option,appointment,money,content,overseas,commodity,kazakhmys,diary
89,software,technology,computer,internet,system,user,apple,google,microsoft,network,datum,customer,business,service,online,digital,information,electronic,product,mobile,device,facebook,machine,site,chip,phone,application,design,intel,industry
90,Â»,bargain,equity,govt,gold,total,turnover,gild_edge,equrty,activity,mmmm,rank,aaaa,high,pcln,index,ordinary,noon,pnee,book,share,industrial,value,hourly,hello,interim,provider,ozawa,trade,ratio
91,aust,dome,menem,tepco,rdas,falconbridge,husky,degussa,seagram,bronfman,clariant,noranda,sandvik,price,emprunt,bank,hudson,alfa_laval,erian,arup,robeco,denison,stork,tire,pipe,centex,nitrate,canada,yamaha,dome_petroleum
92,poland,polish,warsaw,casino,vietnam,solidarity,zlotys,gaming,hanoi,walesa,zloty,vietnamese,gamble,pole,tomkins,christopher_bobinski,gdansk,tymoshenko,tullett,donetsk,macau,lech_walesa,brezhnev,sants,noriega,ooooo,hutchings,vega,fallon,casino_operator
93,economy,economic,government,rate,country,growth,cent,inflation,bank,policy,deficit,budget,fiscal,spend,monetary,debt,eurozone,reform,central,european,crisis,public,currency,finance,germany,increase,unemployment,sector,economist,rise
94,reckitt,tyco,doms,foxtons,gchq,weill,dukakis,david_stevenson,lord_hollick,cenkos,lord_levene,reckitt_benckiser,dhss,travelex,excavator,gideon,simons,solbes,hayek,quote_ipfti,mahmoud_abbas,sensex_index,levin,kozlowski,robert_gibbon,maori,barclay_brother,schiller,rubio,holding_seaboard
95,codelco,grenada,barbados,kvaerner,lord_ashcroft,domaine,matd_matd,belize,chardonnay,orlando,primeur,blanc,seychelles,tampa,trspc,nardelli,smart_beta,floater,mauritius,dougan,hatoyama,meridien,lucia,riesling,arnotts,frequent_flyer,berry_bros,museveni,acidity,montti
96,shamir,omega,hertz,tiscali,avis,salina,ashtead,glocer,borse_dubai,holcim,bolivars,edol,sanpaolo,ftsoo,likud,sapphire,sheraton,buins,iplayer,rogerson,brydon,maiden_lane,godfrey_davis,yitzhak_shamir,polymetal,hgcapital,cantv,successive_session,fred_kapner,carla_hill
97,school,university,student,education,business,woman,work,people,child,graduate,study,programme,research,teach,learn,course,train,science,skill,college,management,academic,career,need,charity,professor,teacher,prof,young,find
98,party,election,labour,vote,political,government,prime_minister,leader,conservative,minister,parliament,opposition,poll,tory,campaign,coalition,voter,blair,britain,referendum,policy,reform,tories,candidate,union,president,seat,cameron,european,power
99,telecom,medium,television,cable,network,advertise,channel,broadcast,mobile,group,digital,operator,cent,service,telecommunication,news,page,vodafone,share,revenue,internet,deal,stake,newspaper,business,broadband,broadcaster,music,radio,film
